schema_version,evidence_type,scheduler,workload,seed,job_id,home_cluster,dispatch_cluster,stolen,arrival_cycle,dispatch_cycle,release_cycle,dependency_wait_cycles,queue_wait_cycles,link_start_cycle,home_link_end_cycle,remote_copy_start_cycle,link_end_cycle,home_link_bundle,execution_link_bundle,base_link_bytes,remote_copy_bytes,memory_start_cycle,memory_end_cycle,compute_start_cycle,compute_end_cycle,preferred_channel,preferred_link_bundle
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,355,1,1,0,355,12181,355,0,11826,12181,12247,12247,12247,1,1,1056,0,12607,12671,12671,12687,3,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,289,3,3,0,289,12187,289,0,11898,12187,12445,12445,12445,3,3,4128,0,12187,12443,12445,12509,1,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,293,3,3,0,293,12509,293,0,12216,12509,13023,13023,13023,3,3,8224,0,12509,13021,13023,13151,1,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,362,1,1,0,362,12687,362,0,12325,12687,12817,12817,12817,1,1,2080,0,12687,12815,12817,12849,2,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,31,0,0,0,31,12763,31,0,12732,12763,12829,12829,12829,0,0,1056,0,12763,12827,12829,12845,3,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,32,0,0,0,32,12845,32,0,12813,12845,13359,13359,13359,0,0,8224,0,12845,13357,13359,13487,0,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,373,1,1,0,373,12849,373,0,12476,12849,12915,12915,12915,1,1,1056,0,13021,13085,13085,13101,1,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,333,2,2,0,333,12865,333,0,12532,12865,12931,12931,12931,2,2,1056,0,13085,13149,13149,13165,1,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,384,1,1,0,384,13101,384,0,12717,13101,14127,14127,14127,1,1,16416,0,13357,14381,14381,14637,0,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,308,3,3,0,308,13151,308,0,12843,13151,13217,13217,13217,3,3,1056,0,14381,14445,14445,14461,0,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,347,2,2,0,347,13165,347,0,12818,13165,13295,13295,13295,2,2,2080,0,13165,13293,13295,13327,3,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,358,2,2,0,358,13327,358,0,12969,13327,13393,13393,13393,2,2,1056,0,13327,13391,13393,13409,2,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,360,2,2,0,360,13409,360,0,13049,13409,13667,13667,13667,2,2,4128,0,14445,14701,14701,14765,0,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,33,0,0,0,33,13487,33,0,13454,13487,13745,13745,13745,0,0,4128,0,13487,13743,13745,13809,1,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,35,0,0,0,35,13809,35,0,13774,13809,14835,14835,14835,0,0,16416,0,13809,14833,14835,15091,3,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,313,3,3,0,313,14461,313,0,14148,14461,14975,14975,14975,3,3,8224,0,14461,14973,14975,15103,1,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,438,1,1,0,438,14637,438,0,14199,14637,14895,14895,14895,1,1,4128,0,14637,14893,14895,14959,2,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,388,2,2,0,388,14765,388,0,14377,14765,14895,14895,14895,2,2,2080,0,14765,14893,14895,14927,0,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,415,2,2,0,415,14927,415,0,14512,14927,15057,15057,15057,2,2,2080,0,14927,15055,15057,15089,3,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,484,1,1,0,484,14959,484,0,14475,14959,15985,15985,15985,1,1,16416,0,14959,15983,15985,16241,0,1
