node_index,node_name,domain,op_type,layer,operator_category,projection_class,K,N,dtype,weight_initializer,source_weight_bytes,activation_bytes,output_bytes,reuse,external_data_file,external_data_offset,estimated_memory_address,candidate_cluster,candidate_channel,candidate_bundle,evidence_type
192,/model/layers.0/self_attn/Unsqueeze,,Unsqueeze,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
193,Constant_2931,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
194,/model/layers.0/self_attn/Unsqueeze_1,,Unsqueeze,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
195,/model/layers.0/self_attn/Constant_2,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
196,/model/layers.0/self_attn/Constant_3,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
197,/model/layers.0/self_attn/Concat,,Concat,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
198,Constant_2936,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
199,/model/layers.0/self_attn/Unsqueeze_2,,Unsqueeze,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
200,Constant_2938,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
201,/model/layers.0/self_attn/Unsqueeze_3,,Unsqueeze,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
202,/model/layers.0/self_attn/Constant_4,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
203,/model/layers.0/self_attn/Constant_5,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
204,/model/layers.0/self_attn/Concat_1,,Concat,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
205,Constant_2943,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
206,/model/layers.0/self_attn/Unsqueeze_4,,Unsqueeze,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
207,Constant_2945,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
208,/model/layers.0/self_attn/Unsqueeze_5,,Unsqueeze,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
209,/model/layers.0/self_attn/Constant_6,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
210,/model/layers.0/self_attn/Constant_7,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
